Location,distance_from_Beijing,population,Total_route_length_m,travel_time_S
Liuzhoushi_450200,3708733.2042057416,4127042.53903985,2453266.218,42664.29999999988
Bozhoushi_341600,3720616.353009181,4803801.857208252,1033349.8909999998,20032.900000000012
Qinhuangdaoshi_130300,3725935.176390191,3152923.984348297,306996.92,7798.7
Zhaoyangshi_211300,3729980.490452313,3053989.06106779,452972.6680000001,9359.000000000004
Xinganmeng_152200,3733308.945125215,1567374.4814848304,1188376.4930000014,22007.899999999987
Ziboshi_370300,3747758.373556103,4985486.620795488,566609.1689999992,11636.100000000002
Xuzhoushi_320300,3752659.673578043,8113360.850665331,842332.6749999997,15832.800000000028
Wuhanshi_420100,3756095.8833243977,11630317.558193922,1380877.836999998,25539.100000000035
Guilinshi_450300,3758691.657261409,4869520.525184631,2307810.1519999993,40115.99999999986
Changshashi_430100,3767258.950625864,8164556.920244694,1746272.4030000025,31192.100000000002
Huanggangshi_421100,3770774.705627784,5898089.525819898,1374656.631000004,26667.400000000045
Zaozhuangshi_370400,3775233.542177284,3915968.022662163,794953.8439999998,14349.200000000015
Dongyingshi_370500,3777603.702391113,2254908.413056016,522517.6169999993,10500.300000000003
Chongzuoshi_451400,3781691.586379584,2342881.208982229,2931715.641000004,49510.999999999854
Huludaoshi_211400,3785116.026488891,2361545.744226694,508957.51000000024,10478.700000000013
Xianningshi_421200,3791395.4968595896,2312625.791946888,1501080.0049999976,28534.30000000002
Xiangtanshi_430300,3797775.670713223,2713949.0035102367,1890854.0239999995,32455.200000000015
Nanningshi_450100,3807110.7678854433,7067225.240400791,2729749.570999999,46196.39999999983
Huaibeishi_340600,3815297.968083472,2337810.3193421364,909032.1719999998,18427.900000000038
Laibinshi_451300,3816778.949385421,2008876.0480716228,2549507.958999997,44780.899999999834
Yongzhoushi_431100,3818172.261111636,5007429.018168926,2234969.0260000015,39098.89999999989
Linyishi_371300,3823793.306979992,10056065.85886526,802235.862,14391.800000000017
Hengyangshi_430400,3831337.8960210825,7408733.979924679,1938167.2280000001,34876.7
Weifangshi_370700,3838429.393042045,9639713.080731869,659614.7779999995,13338.600000000006
Luanshi_341500,3841419.568352861,5406177.921385765,1192960.571000003,21354.00000000002
Ezhoushi_420700,3841896.572784744,917217.7610998154,1371217.8070000038,26922.200000000044
Huainanshi_340400,3863511.076275347,2379018.263010025,1043667.2869999998,20983.60000000001
Huangshishi_420200,3868372.073618303,2105778.9665341377,1421682.0520000046,27935.500000000033
Jiujiangshi_360400,3881201.971406828,4900927.046776294,1570933.0310000041,30276.80000000005
Bengbushi_340300,3887309.996448877,2985542.158106804,1024486.2799999998,21317.80000000001
Zhuzhoushi_430200,3887976.626903856,4299574.207071781,1887761.618999999,35443.6
Jinzhoushi_210700,3930035.603390012,3093574.694830537,584501.6710000007,12021.800000000001
Fangchenggangshi_450600,3933065.913327489,833572.4546432494,2955566.4440000015,51730.29999999987
Rizhaoshi_371100,3936530.4047069466,2689361.88472867,810877.9059999998,16374.700000000015
Fuxinshi_210900,3937087.671505662,1796658.9713498354,668987.3830000007,14587.30000000002
Hefeishi_340100,3937217.966734458,8576748.528220654,1178126.7790000024,23137.60000000001
Anqingshi_340800,3940844.1907154666,5501119.82296753,1419832.157000005,24954.600000000028
Wuzhoushi_450400,3942505.55461366,2974327.4746541977,2594494.6489999974,45737.79999999982
Guigangshi_450800,3945473.246718744,4407420.146422625,2658192.441999996,45482.39999999981
Pingxiangshi_360300,3946952.711157248,2015410.673629284,1834842.7159999995,34996.5
Hezhoushi_451100,3951374.140322159,1972415.910815239,2390954.4350000024,42369.89999999988
Chenzhoushi_431000,3954363.580002335,4927508.37253189,2082976.6260000009,36509.499999999935
Chuzhoushi_341100,3956013.045646711,3967066.3648278713,1108408.6910000006,21493.699999999997
Suqianshi_321300,3956195.187118665,4459885.576781988,1068240.4729999988,19432.5
Yantaishi_370600,3959716.061586928,6719726.819449663,849685.6390000003,15937.90000000002
Baichengshi_220800,3962214.831942546,1977455.2891552448,1451924.0240000011,26853.300000000043
Qingdaoshi_370200,3967112.154423913,9414383.247399569,799848.2559999999,15912.100000000017
Lianyungangshi_320700,3969688.833106969,4145975.100821972,900521.2429999999,17274.30000000002
Qinzhoushi_450700,3976583.752251784,3087334.731133461,2770223.1110000005,47367.99999999987
Jianshi_360800,4016250.6007873896,5229944.744581699,1963879.995000001,35897.50000000001
Xinyushi_360500,4016503.774847855,1211464.6629891396,1811511.4700000063,33958.700000000026
Panjinshi_211100,4025293.21361233,1442039.0959374905,629227.6740000002,12350.000000000002
Qingyuanshi_441800,4027256.635110982,4048630.451989174,2325085.476000002,44091.09999999989
Nanchangshi_360100,4031464.93080835,5938411.558449744,1725512.2240000004,31544.599999999984
Huaianshi_320800,4034498.867626572,4483263.565946817,1056826.1989999989,19130.200000000008
Dalianshi_210200,4047895.714088479,6342456.263155937,904929.3400000002,18108.4
Qiqihaershi_230200,4054916.545261551,5353790.53446734,1716939.264000001,30576.400000000012
Beihaishi_450500,4064718.674048927,1548265.4762935638,2846505.3160000006,47471.89999999988
