ID,100_initial_infections_at,Name,Beijing_100_infections_time,distance_from_Beijing,population,Longitude,Latitude
410800,Jiaozuoshi_410800,Jiaozuo,65,3366916.784695225,3839205.417335033,113.09769016840607,35.091999583915324
410900,Puyangshi_410900,Puyang,57,3541896.8613553606,3540003.829480171,115.2639214099991,35.79826257499132
411000,Xuchangshi_411000,Xuchang,65,3456022.7200833275,4585094.894495726,113.68952294112069,34.077575824673
411200,Sanmenxiashi_411200,Sanmenxia,66,3170167.1317688855,2136362.7679253817,111.085703602816,34.34943824889986
411300,Nanyangshi_411300,Nanyang,67,3298989.841410505,11086103.51118207,112.27186878384946,33.033304025126306
411400,Shangqiushi_411400,Shangqiu,63,3605003.2309341417,6892977.523938179,115.67716627588537,34.28093944971292
411500,Xinyangshi_411500,Xinyang,60,3630556.2304579765,5575700.435856581,114.8381091817463,32.07815250520071
411600,Zhoukoushi_411600,Zhoukou,61,3577878.6102050124,8033584.247490168,114.85167479833645,33.72949334849547
411700,Zhumadianshi_411700,Zhumadian,63,3537072.389764535,7065749.60078156,114.12605529544157,32.93127187059469
419001,Jiyuanshi_419001,Jiyuan,66,3295659.1368381158,749297.0896630287,112.37169773614502,35.091688485517935
420100,Wuhanshi_420100,Wuhan,61,3756095.8833243977,11630317.558193922,114.32393734793409,30.625470662422615
420200,Huangshishi_420200,Huangshi,70,3868372.073618303,2105778.9665341377,115.00398682221548,29.930244887297945
420300,Shiyanshi_420300,Shiyan,69,3176220.4427655917,3259472.459747553,110.4130095191891,32.44881391647574
420500,Yichangshi_420500,Yichang,69,3400691.6490952196,3928870.476340294,111.11869412093742,30.744022137703322
420600,Xiangyangshi_420600,Xiangyang,69,3395030.180599284,5246549.135469675,111.9111214505922,31.92559912402455
420700,Ezhoushi_420700,Ezhou,69,3841896.572784744,917217.7610998154,114.72600007189887,30.32228601382817
420800,Jingmenshi_420800,Jingmen,72,3529487.473551887,2671683.7847719193,112.58732410527531,31.076457837512244
420900,Xiaoganshi_420900,Xiaogan,69,3664086.358470798,4601386.339653254,113.86142730790648,31.1181645486141
421000,Jingzhoushi_421000,Jingzhou,73,3570747.14774088,5048528.007999897,112.54612565610476,29.993634090270447
421100,Huanggangshi_421100,Huanggang,71,3770774.7056277837,5898089.525819898,115.32688912947474,30.693442564702487
421200,Xianningshi_421200,Xianning,71,3791395.4968595896,2312625.791946888,114.16043748120283,29.622857009558754
421300,Suizhoushi_421300,Suizhou,67,3574466.518675894,1876106.4205169678,113.40463320816973,31.82745581560543
422800,Enshitujiazumiaozuzizhizhou_422800,Enshi Tujia and Miao Autonomous Prefecture,72,3278227.535955053,2947687.5928754807,109.52719543963555,30.195065426443826
429004,Xiantaoshi_429004,Xiantao,71,3687622.314154737,967122.7612597941,113.3537161961222,30.2772597563255
